"Filepath","File","Name","Extension","Filesize","Created","Modified","Retrieved","Error"
"B:\12xx Hahn\1200\1200-068\F8 - Executed Contract\File 1200-068.F8 Authorization to Perform Professional Services - In Studio Architecture Inc..pdf","File 1200-068.F8 Authorization to Perform Professional Services - In Studio Architecture Inc..pdf","File 1200-068.F8 Authorization to Perform Professional Services - In Studio Architecture Inc.","pdf",413085,"05/31/2019, 14:03:25","04/16/2019, 12:51:09","10/30/2019, 14:51:28",""
"B:\14xx   Thimann Labs\1400\1400-092\F5 - Drawings and Specifications\AsBuilts\AsBuilts - Shortcut.lnk","AsBuilts - Shortcut.lnk","AsBuilts - Shortcut","lnk",1495,"10/29/2019, 13:43:03","10/29/2019, 13:43:03","10/30/2019, 14:52:52",""
"B:\15xx   East & West Field House\1501\E6 - Soils Reports\File 1501 Soils Report 019.pdf","File 1501 Soils Report 019.pdf","File 1501 Soils Report 019","pdf",713408,"06/01/2019, 17:11:05","12/12/2005, 09:55:37","10/30/2019, 14:56:41",""
"B:\16xx   Cowell College\1601\1601-083\G - Construction\File 1601-083 Fax Wastewater Stream Seperation.pdf","File 1601-083 Fax Wastewater Stream Seperation.pdf","File 1601-083 Fax Wastewater Stream Seperation","pdf",57834,"06/01/2019, 17:23:46","07/19/2013, 13:51:41","10/30/2019, 14:59:02",""
"B:\16xx   Cowell College\1635\F5 - Drawings and Specifications\File 1635 A0.TIF","File 1635 A0.TIF","File 1635 A0","tif",4285844,"06/01/2019, 17:26:25","08/30/2006, 11:17:46","10/30/2019, 14:59:04",""
"B:\16xx   Cowell College\1635\F5 - Drawings and Specifications\File 1635 A1.TIF","File 1635 A1.TIF","File 1635 A1","tif",6470552,"06/01/2019, 17:26:25","08/30/2006, 11:18:21","10/30/2019, 14:59:04",""
"B:\16xx   Cowell College\1639\1639\H - Submittals\Sub # 05.28 Lee's Imperial Welding 11.19.2002\1639.H Section 05500 Item 05.28 Transmittal Docs.pdf","1639.H Section 05500 Item 05.28 Transmittal Docs.pdf","1639.H Section 05500 Item 05.28 Transmittal Docs","pdf",193684,"06/01/2019, 17:41:41","09/20/2018, 10:45:40","10/30/2019, 14:59:33",""
"B:\16xx   Cowell College\1639\1639\H - Submittals\Sub # 8.04\1639.H Submittal #8.04 with addiotional comments.pdf","1639.H Submittal #8.04 with addiotional comments.pdf","1639.H Submittal #8.04 with addiotional comments","pdf",103938070,"06/01/2019, 17:43:44","09/19/2018, 15:40:04","10/30/2019, 14:59:43",""
"B:\16xx   Cowell College\1639\1639-005\F5 - Drawings and Specifications\1639.F5 Conformed Set.pdf","1639.F5 Conformed Set.pdf","1639.F5 Conformed Set","pdf",49297053,"06/01/2019, 17:26:35","09/24/2018, 10:59:42","10/30/2019, 14:59:43",""
"B:\16xx   Cowell College\1649\B - Administrative Reviews and approvals\Reports\File 1601 Soil Report 189 Sector 69 (with plates).pdf","File 1601 Soil Report 189 Sector 69 (with plates).pdf","File 1601 Soil Report 189 Sector 69 (with plates)","pdf",4213506,"06/01/2019, 17:44:51","06/30/2004, 14:58:39","10/30/2019, 14:59:57",""
"B:\16xx   Cowell College\1652 Infill Exterior Repairs\1652\F - Drawings and Specifications\F5 - Phase 1 Drawings and Specs\Record Set\File 1652 Record Set Drawings.pdf","File 1652 Record Set Drawings.pdf","File 1652 Record Set Drawings","pdf",59165709,"06/01/2019, 17:53:57","12/10/2014, 14:05:49","10/30/2019, 15:01:22",""
"B:\17xx   Stevenson College (College 2)\1700\1700-182\C - Consultants\C1 - Executive Architect\C1.3 - Agreement\File 1700-182.C1.3. Authorizations #BDBOWSL1.pdf","File 1700-182.C1.3. Authorizations #BDBOWSL1.pdf","File 1700-182.C1.3. Authorizations #BDBOWSL1","pdf",971319,"06/01/2019, 18:20:20","05/23/2018, 13:36:05","10/30/2019, 15:31:53",""
"B:\17xx   Stevenson College (College 2)\1700\1700-182\C - Consultants\C1 - Executive Architect\C1.3 - Agreement\File 1700-182.C1.3. Authorizations #BDBOWSL2.pdf","File 1700-182.C1.3. Authorizations #BDBOWSL2.pdf","File 1700-182.C1.3. Authorizations #BDBOWSL2","pdf",381179,"06/01/2019, 18:20:20","01/04/2019, 14:10:26","10/30/2019, 15:31:53",""
"B:\17xx   Stevenson College (College 2)\1700\1700-182\H - Submittals\1700-182 Submittal 01 57 23 -01_review.pdf","1700-182 Submittal 01 57 23 -01_review.pdf","1700-182 Submittal 01 57 23 -01_review","pdf",11143029,"06/01/2019, 18:20:25","05/30/2019, 10:11:46","10/30/2019, 15:31:54",""
"B:\17xx   Stevenson College (College 2)\1700\1700-186\H - Submittals\Hold\1700-186 Submittal 09 00 00 -01_review.pdf","1700-186 Submittal 09 00 00 -01_review.pdf","1700-186 Submittal 09 00 00 -01_review","pdf",947260,"06/01/2019, 18:20:29","05/31/2019, 13:07:39","10/30/2019, 15:31:54",""
"B:\17xx   Stevenson College (College 2)\1700\1700-186\H - Submittals\Hold\1700-186 Submittal 26 51 10 -01_review.pdf","1700-186 Submittal 26 51 10 -01_review.pdf","1700-186 Submittal 26 51 10 -01_review","pdf",1396995,"06/01/2019, 18:20:29","05/31/2019, 10:19:34","10/30/2019, 15:31:54",""
"B:\17xx   Stevenson College (College 2)\1740A\G15 - Change Orders\1740A.G15 Change Order #1.pdf","1740A.G15 Change Order #1.pdf","1740A.G15 Change Order #1","pdf",21955871,"06/01/2019, 18:23:34","04/29/2019, 12:43:36","10/30/2019, 15:32:16",""
"B:\18xx   Mc Henry Library Unit I\1810\1810\H - Submittals\2 Phase 2- Renovation\Division 15\15470-1223R5.pdf","15470-1223R5.pdf","15470-1223R5","pdf",18092985,"06/01/2019, 19:04:15","10/30/2015, 15:43:48","10/30/2019, 15:36:44",""
"B:\18xx   Mc Henry Library Unit I\1810\1810-003\Brief Form Contract.F8..pdf","Brief Form Contract.F8..pdf","Brief Form Contract.F8.","pdf",1941254,"06/01/2019, 18:34:47","04/05/2019, 14:54:27","10/30/2019, 15:36:45",""
"B:\23xx   Crown College (College 3)\2300\2300\F5 - Drawings and Specifications\TIFF\Architectural\File 2300.F5 Architectural.pdf","File 2300.F5 Architectural.pdf","File 2300.F5 Architectural","pdf",370986082,"06/01/2019, 20:07:20","05/04/2018, 15:33:58","10/30/2019, 15:59:55",""
"B:\23xx   Crown College (College 3)\2300\2300-011\E3 - Cost Estimate Budget\File 2300-011 Notes.pdf","File 2300-011 Notes.pdf","File 2300-011 Notes","pdf",2180056,"06/01/2019, 20:04:58","01/06/2015, 14:42:27","10/30/2019, 15:59:57",""
"B:\23xx   Crown College (College 3)\2300\2300-011\G2 - Certificate of Payment and Invoices\File 2300-011 Certificate of Payment No.pdf","File 2300-011 Certificate of Payment No.pdf","File 2300-011 Certificate of Payment No","pdf",1449655,"06/01/2019, 20:05:08","01/21/2015, 11:46:39","10/30/2019, 15:59:58",""
"B:\23xx   Crown College (College 3)\2300\2300-011\G2 - Certificate of Payment and Invoices\File 2300-011 Request For Payment #3.pdf","File 2300-011 Request For Payment #3.pdf","File 2300-011 Request For Payment #3","pdf",1258466,"06/01/2019, 20:05:08","01/06/2015, 14:49:49","10/30/2019, 15:59:58",""
"B:\23xx   Crown College (College 3)\2302\2302\F5 - Drawings and Specifications\2302.F5. Architectural Combined.pdf","2302.F5. Architectural Combined.pdf","2302.F5. Architectural Combined","pdf",45625000,"06/01/2019, 20:07:58","05/22/2019, 10:51:47","10/30/2019, 16:00:16",""
"B:\23xx   Crown College (College 3)\2302\2302\F5 - Drawings and Specifications\2302.F5. Structural Combined.pdf","2302.F5. Structural Combined.pdf","2302.F5. Structural Combined","pdf",12344746,"06/01/2019, 20:07:58","05/22/2019, 11:02:49","10/30/2019, 16:00:16",""
"B:\23xx   Crown College (College 3)\2318\2318-064A\H - Submittals\2318-064A Submittal 01 33 00 -01_review.pdf","2318-064A Submittal 01 33 00 -01_review.pdf","2318-064A Submittal 01 33 00 -01_review","pdf",648680,"06/01/2019, 20:08:46","05/20/2019, 15:39:39","10/30/2019, 16:00:25",""
"B:\23xx   Crown College (College 3)\2318\2318-064A\H - Submittals\2318-064A Submittal 28 31 00 -01_review.pdf","2318-064A Submittal 28 31 00 -01_review.pdf","2318-064A Submittal 28 31 00 -01_review","pdf",2030150,"06/01/2019, 20:08:46","05/20/2019, 15:29:04","10/30/2019, 16:00:25",""
"B:\23xx   Crown College (College 3)\2318\2318-064A\H - Submittals\2318-064A Submittal 28 31 00 -02_review.pdf","2318-064A Submittal 28 31 00 -02_review.pdf","2318-064A Submittal 28 31 00 -02_review","pdf",995398,"06/01/2019, 20:08:46","05/20/2019, 15:20:25","10/30/2019, 16:00:25",""
"B:\23xx   Crown College (College 3)\2318\2318-083\F8 - Executed Contract\File 2318-083.F8 NTP.pdf.pdf","File 2318-083.F8 NTP.pdf.pdf","File 2318-083.F8 NTP.pdf","pdf",475274,"06/01/2019, 20:08:58","02/21/2019, 08:13:31","10/30/2019, 16:00:28",""
"B:\23xx   Crown College (College 3)\2318\2318-086\C1.3 - Agreements\File 2318-086.C1.3 Authorization - BDSKYVB1.pdf","File 2318-086.C1.3 Authorization - BDSKYVB1.pdf","File 2318-086.C1.3 Authorization - BDSKYVB1","pdf",386232,"06/01/2019, 20:08:59","02/04/2019, 12:42:00","10/30/2019, 16:00:28",""
"B:\23xx   Crown College (College 3)\2358 MM & ADA\2358\H - Submittals\Hold 2358\2358 05 12 00 -001 Final.pdf","2358 05 12 00 -001 Final.pdf","2358 05 12 00 -001 Final","pdf",1844331,"06/01/2019, 20:19:43","05/30/2019, 15:56:52","10/30/2019, 16:01:21",""
"B:\23xx   Crown College (College 3)\2358 MM & ADA\2358\H - Submittals\Hold 2358\2358 05 31 00 -001 Final.pdf","2358 05 31 00 -001 Final.pdf","2358 05 31 00 -001 Final","pdf",1988748,"06/01/2019, 20:19:43","05/30/2019, 16:01:27","10/30/2019, 16:01:21",""
"B:\23xx   Crown College (College 3)\2358 MM & ADA\2358\H - Submittals\Hold 2358\2358 Submittal 05 52 13 -008.pdf","2358 Submittal 05 52 13 -008.pdf","2358 Submittal 05 52 13 -008","pdf",6214395,"06/01/2019, 20:19:49","05/16/2019, 10:04:08","10/30/2019, 16:01:22",""
"B:\23xx   Crown College (College 3)\2358 MM & ADA\2358\H - Submittals\Hold 2358\2358 Submittal 10 14 00 -007.pdf","2358 Submittal 10 14 00 -007.pdf","2358 Submittal 10 14 00 -007","pdf",5493214,"06/01/2019, 20:19:54","04/22/2019, 13:58:08","10/30/2019, 16:01:22",""
"B:\23xx   Crown College (College 3)\2358 MM & ADA\2358\H - Submittals\Hold 2358\2358 Submittal 23 00 00 -006 MD040219.pdf","2358 Submittal 23 00 00 -006 MD040219.pdf","2358 Submittal 23 00 00 -006 MD040219","pdf",210333,"06/01/2019, 20:19:55","04/03/2019, 09:54:16","10/30/2019, 16:01:22",""
"B:\23xx   Crown College (College 3)\2358 MM & ADA\2358\H - Submittals\Hold 2358\2358 Submittal 23 00 00 -006.pdf","2358 Submittal 23 00 00 -006.pdf","2358 Submittal 23 00 00 -006","pdf",132335919,"06/01/2019, 20:19:55","03/25/2019, 12:25:36","10/30/2019, 16:01:22",""
"B:\23xx   Crown College (College 3)\2358 MM & ADA\2358\H - Submittals\Hold 2358\2358 Submittal 32 84 00 -001 R1.pdf","2358 Submittal 32 84 00 -001 R1.pdf","2358 Submittal 32 84 00 -001 R1","pdf",1727418,"06/01/2019, 20:19:58","05/30/2019, 09:34:25","10/30/2019, 16:01:22",""
"B:\23xx   Crown College (College 3)\2358 MM & ADA\2358\H - Submittals\Hold 2358\2358 Submittal 32 84 00 -002 R1.pdf","2358 Submittal 32 84 00 -002 R1.pdf","2358 Submittal 32 84 00 -002 R1","pdf",8548742,"06/01/2019, 20:19:58","05/30/2019, 14:25:40","10/30/2019, 16:01:22",""
"B:\23xx   Crown College (College 3)\2358 MM & ADA\2358\H - Submittals\Hold 2358\2358 Submittal 32 91 13 -001 R1.pdf","2358 Submittal 32 91 13 -001 R1.pdf","2358 Submittal 32 91 13 -001 R1","pdf",1407378,"06/01/2019, 20:19:58","05/27/2019, 13:33:03","10/30/2019, 16:01:22",""
"B:\23xx   Crown College (College 3)\2358 MM & ADA\2358\H - Submittals\Hold 2358\2358 Submittal 32 93 00 -003 R1.pdf","2358 Submittal 32 93 00 -003 R1.pdf","2358 Submittal 32 93 00 -003 R1","pdf",1924028,"06/01/2019, 20:19:59","05/30/2019, 14:30:42","10/30/2019, 16:01:22",""
"B:\23xx   Crown College (College 3)\2358 MM & ADA\2358\H - Submittals\Hold 2358\260000-005 Collin Electrical Close-out O&M's 5.21.19.pdf","260000-005 Collin Electrical Close-out O&M's 5.21.19.pdf","260000-005 Collin Electrical Close-out O&M's 5.21.19","pdf",22967,"06/01/2019, 20:20:00","05/21/2019, 15:44:50","10/30/2019, 16:01:22",""
"B:\25xx   Natural Sciences Unit Two\2514\F - Bid Documents and Contract Award\F5 - Drawings and Specifications\File 2513 PDG Clarification Page 11-17-95 .pdf","File 2513 PDG Clarification Page 11-17-95 .pdf","File 2513 PDG Clarification Page 11-17-95 ","pdf",2836294,"06/02/2019, 09:13:57","10/07/2014, 10:42:08","10/30/2019, 16:08:51",""
"B:\26xx   Merrill College (College 4)\2602\2602\F8 - Contract\Contract Document.pdf","Contract Document.pdf","Contract Document","pdf",19252059,"06/02/2019, 09:20:23","12/06/2010, 13:42:58","10/30/2019, 16:10:07",""
"B:\26xx   Merrill College (College 4)\2635 Merrill Renovations 2013-2014\2635\E - Program and Design\E8-Meeting Minutes\File 2635 Programming Meeting #3 Agenda.pdf","File 2635 Programming Meeting #3 Agenda.pdf","File 2635 Programming Meeting #3 Agenda","pdf",506237,"06/02/2019, 09:23:31","02/24/2014, 13:01:21","10/30/2019, 16:10:22",""
"B:\27xx   Applied Sciences Baskin Engineering\2721\2721-002\2721-002\C-Consultants\C1-Consultants\C1.2-Correspondence\File 2721-002 Design and Construction Documents.pdf","File 2721-002 Design and Construction Documents.pdf","File 2721-002 Design and Construction Documents","pdf",575937,"06/02/2019, 16:54:46","02/07/2014, 12:58:40","10/30/2019, 16:26:35",""
"B:\29xx   University House\FileList.IPS","FileList.IPS","FileList","ips",0,"06/02/2019, 17:31:26","10/30/2012, 08:14:07","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\A1 - Miscellaneous\File 2900 A1 Discussion of Possible Renovations to U House 10.20.98.pdf","File 2900 A1 Discussion of Possible Renovations to U House 10.20.98.pdf","File 2900 A1 Discussion of Possible Renovations to U House 10.20.98","pdf",186958,"06/02/2019, 17:31:28","11/10/2014, 11:53:22","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\A1 - Miscellaneous\File 2900 A1 Draft - University House Preliminary Studies 12.21.98.pdf","File 2900 A1 Draft - University House Preliminary Studies 12.21.98.pdf","File 2900 A1 Draft - University House Preliminary Studies 12.21.98","pdf",438781,"06/02/2019, 17:31:28","11/10/2014, 11:55:10","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\A1 - Miscellaneous\File 2900 A1 Reply to Request for Pre-Site Visit Information 01.27.99.pdf","File 2900 A1 Reply to Request for Pre-Site Visit Information 01.27.99.pdf","File 2900 A1 Reply to Request for Pre-Site Visit Information 01.27.99","pdf",851749,"06/02/2019, 17:31:28","11/10/2014, 11:56:46","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\A1 - Miscellaneous\File 2900 A1 UCOP Message to Vani on University House 04.06.98.pdf","File 2900 A1 UCOP Message to Vani on University House 04.06.98.pdf","File 2900 A1 UCOP Message to Vani on University House 04.06.98","pdf",1121565,"06/02/2019, 17:31:28","11/10/2014, 11:54:00","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\A1 - Miscellaneous\File 2900 A1 University House Audit 07.07.98.pdf","File 2900 A1 University House Audit 07.07.98.pdf","File 2900 A1 University House Audit 07.07.98","pdf",11886275,"06/02/2019, 17:31:28","11/10/2014, 12:03:06","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\B2 - Office of the President\File 2900 B2 UCOP Renewal of Residences for Chancellor and President 09.29.98.pdf","File 2900 B2 UCOP Renewal of Residences for Chancellor and President 09.29.98.pdf","File 2900 B2 UCOP Renewal of Residences for Chancellor and President 09.29.98","pdf",437722,"06/02/2019, 17:31:28","11/10/2014, 11:54:54","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\C1 - Executive Architect\File 2900 C1 Interested Architects for Uni House Remodel 10.12.98.pdf","File 2900 C1 Interested Architects for Uni House Remodel 10.12.98.pdf","File 2900 C1 Interested Architects for Uni House Remodel 10.12.98","pdf",102373,"06/02/2019, 17:31:28","11/10/2014, 11:52:58","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\E2 - Project Planning Guide\File 2900 E2 Draft PPG for Proposed University House Improvements 11.25.98.pdf","File 2900 E2 Draft PPG for Proposed University House Improvements 11.25.98.pdf","File 2900 E2 Draft PPG for Proposed University House Improvements 11.25.98","pdf",3610160,"06/02/2019, 17:31:28","11/10/2014, 11:56:21","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\E3 - Budgets, Cost Estimates\File 2900 E3 Increase of Individual Deficiency Amounts 06.14.99.pdf","File 2900 E3 Increase of Individual Deficiency Amounts 06.14.99.pdf","File 2900 E3 Increase of Individual Deficiency Amounts 06.14.99","pdf",84095,"06/02/2019, 17:31:29","11/10/2014, 11:52:51","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\E3 - Budgets, Cost Estimates\File 2900 E3 University House Air Conditioning Budget Estimate.pdf","File 2900 E3 University House Air Conditioning Budget Estimate.pdf","File 2900 E3 University House Air Conditioning Budget Estimate","pdf",1075577,"06/02/2019, 17:31:29","11/10/2014, 11:54:35","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\E3 - Budgets, Cost Estimates\File 2904 E3 Weekly Contract Report as of 11.22.04.pdf","File 2904 E3 Weekly Contract Report as of 11.22.04.pdf","File 2904 E3 Weekly Contract Report as of 11.22.04","pdf",140162,"06/02/2019, 17:31:29","11/10/2014, 11:49:56","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\E5.1 - Executive Architect\File 2900 Chancellor's Residence Draft Report 06.14.99.pdf","File 2900 Chancellor's Residence Draft Report 06.14.99.pdf","File 2900 Chancellor's Residence Draft Report 06.14.99","pdf",545796,"06/02/2019, 17:31:29","11/10/2014, 11:52:21","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\E5.1 - Executive Architect\File 2900 Jonathan Miller Re University House Maintenance 11.30.00.pdf","File 2900 Jonathan Miller Re University House Maintenance 11.30.00.pdf","File 2900 Jonathan Miller Re University House Maintenance 11.30.00","pdf",202425,"06/02/2019, 17:31:29","11/10/2014, 11:51:37","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\E5.1 - Executive Architect\File 2900 Pre Site Visit Information Request 01.27.99.pdf","File 2900 Pre Site Visit Information Request 01.27.99.pdf","File 2900 Pre Site Visit Information Request 01.27.99","pdf",453769,"06/02/2019, 17:31:29","11/10/2014, 11:56:58","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\E5.1 - Executive Architect\File 2900 Summary of University House Repairs Ph 1, 2, and 3 01.08.01.pdf","File 2900 Summary of University House Repairs Ph 1, 2, and 3 01.08.01.pdf","File 2900 Summary of University House Repairs Ph 1, 2, and 3 01.08.01","pdf",1375901,"06/02/2019, 17:31:29","11/10/2014, 11:50:22","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\E5.1 - Executive Architect\File 2900 Summary of University House Repairs Ph 1, 2, and 3 12.15.00 DRAFT.pdf","File 2900 Summary of University House Repairs Ph 1, 2, and 3 12.15.00 DRAFT.pdf","File 2900 Summary of University House Repairs Ph 1, 2, and 3 12.15.00 DRAFT","pdf",1150040,"06/02/2019, 17:31:29","11/10/2014, 11:50:47","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\E6 - Soil Reports\2900. E6. Soil Report #081.pdf","2900. E6. Soil Report #081.pdf","2900. E6. Soil Report #081","pdf",869873,"06/02/2019, 17:31:29","12/23/2016, 11:17:32","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\E8 - Meeting Minutes\File 2900 E8 University House Mtg w UCOP Representative 02.09.99.pdf","File 2900 E8 University House Mtg w UCOP Representative 02.09.99.pdf","File 2900 E8 University House Mtg w UCOP Representative 02.09.99","pdf",837878,"06/02/2019, 17:31:29","11/10/2014, 11:55:50","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\E8 - Meeting Minutes\File 2900 E8 University House Remodel Meeting Notes 10.22.98.pdf","File 2900 E8 University House Remodel Meeting Notes 10.22.98.pdf","File 2900 E8 University House Remodel Meeting Notes 10.22.98","pdf",359202,"06/02/2019, 17:31:29","11/10/2014, 13:13:46","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\E8 - Meeting Minutes\File 2900 University House On-Site Visit Agenda 02.09.99.pdf","File 2900 University House On-Site Visit Agenda 02.09.99.pdf","File 2900 University House On-Site Visit Agenda 02.09.99","pdf",185500,"06/02/2019, 17:31:29","11/10/2014, 11:55:20","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\F5 - Drawings and Specifications\File 2900 MISC A.TIF","File 2900 MISC A.TIF","File 2900 MISC A","tif",3930032,"06/02/2019, 17:31:29","12/21/2004, 08:22:29","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\F5 - Drawings and Specifications\File 2900 MISC B.TIF","File 2900 MISC B.TIF","File 2900 MISC B","tif",23305796,"06/02/2019, 17:31:29","12/21/2004, 08:22:54","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\F5 - Drawings and Specifications\File 2900 MISC C.TIF","File 2900 MISC C.TIF","File 2900 MISC C","tif",6302768,"06/02/2019, 17:31:29","12/21/2004, 08:23:01","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\F5 - Drawings and Specifications\File 2900 MISC D1.TIF","File 2900 MISC D1.TIF","File 2900 MISC D1","tif",769860,"06/02/2019, 17:31:29","12/21/2004, 08:23:04","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\F5 - Drawings and Specifications\File 2900 MISC D2.TIF","File 2900 MISC D2.TIF","File 2900 MISC D2","tif",746476,"06/02/2019, 17:31:29","12/21/2004, 08:42:38","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\F5 - Drawings and Specifications\File 2900 MISC D3.TIF","File 2900 MISC D3.TIF","File 2900 MISC D3","tif",1668236,"06/02/2019, 17:31:29","12/21/2004, 08:23:10","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\F5 - Drawings and Specifications\File 2900 MISC D4.TIF","File 2900 MISC D4.TIF","File 2900 MISC D4","tif",1729648,"06/02/2019, 17:31:29","12/21/2004, 08:23:13","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\F5 - Drawings and Specifications\File 2900 MISC D5.TIF","File 2900 MISC D5.TIF","File 2900 MISC D5","tif",1773008,"06/02/2019, 17:31:30","12/21/2004, 08:23:16","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\F5 - Drawings and Specifications\File 2900 MISC E.TIF","File 2900 MISC E.TIF","File 2900 MISC E","tif",1669432,"06/02/2019, 17:31:30","12/21/2004, 08:23:20","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\F5 - Drawings and Specifications\File 2900 MISC F.TIF","File 2900 MISC F.TIF","File 2900 MISC F","tif",3781972,"06/02/2019, 17:31:30","12/21/2004, 08:23:25","10/30/2019, 16:54:00",""
"B:\29xx   University House\2900\2900\F5 - Drawings and Specifications\File 2900 MISC G.TIF","File 2900 MISC G.TIF","File 2900 MISC G","tif",4663016,"06/02/2019, 17:31:30","10/22/2014, 10:42:54","10/30/2019, 16:54:00",""
